Cruiser Electric,0014x00000D8d7rAAB,0014x00000D8d7r,Electrical,Electrical,Electrical,"$7,492,000 ",Less than $25M,"$27,372","$11,178",$0,"$6,848","$2,237","$8,827",$0,$0,$833,"$8,898","$5,753","$11,903","$14,131",$917,$0,-100%,-$917,
Merit Electrical Co,0014x00000D8d8nAAB,0014x00000D8d8n,Electrical,,Electrical,"$50,000,000 ",$25M-$100M,,,,$0,"$116,462","$1,125,614",$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
"Merit Electrical, Inc.",0014x00000D8d8nAAB,0014x00000D8d8n,Electrical,,Electrical,"$50,000,000 ",$25M-$100M,,,,,,,"$4,510,766","$1,348,158","$2,012,297","$352,074","$476,808","$433,265","$386,421","$1,169,923","$304,647",-74%,"-$865,276",
Excel Electric of Naples Inc,0014x00000D8TwVAAV,0014x00000D8TwV,Electrical,,Electrical,"$7,804,000 ",Less than $25M,,,,$0,"$24,956",$2,$0,$0,$0,"$9,137",$2,$2,"$4,042","$22,798","$133,524",486%,"$110,726",
GSL Electric,0014x00000D8UR2AAN,0014x00000D8UR2,Electrical,Electrical,Electrical,"$71,000,000 ",$25M-$100M,"$1,090,311","$309,980","$389,421","$283,074","$244,213","$3,137,948","$304,607","$295,583","$278,457","$242,676","$311,211","$296,145","$209,793","$325,310","$352,561",8%,"$27,251",
Gibson Electrical LLC,0014x00000FRofhAAD,0014x00000FRofh,Electrical,,Electrical,"$3,000,000 ",Less than $25M,,,,$0,$243,$0,$0,$0,$27,"$52,152","$58,924","$155,116","$55,891","$47,483","$74,342",57%,"$26,859",
TEI Electrical Solutions,0014x00000FRog7AAD,0014x00000FRog7,Electrical,Electrical,Electrical,"$19,000,000 ",Less than $25M,"$147,629","$159,240","$245,711","$149,199","$114,353","$156,063","$167,572","$204,785","$138,922","$124,643","$66,163","$88,404","$63,911","$41,503","$90,252",117%,"$48,750",
"Lumix Electrical, Inc.",0014x00000FRohrAAD,0014x00000FRohr,Electrical,Electrical,Electrical,"$6,171,000 ",Less than $25M,"$8,083","$4,905",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
Lynn Electric & Communications,0014x00000FRohuAAD,0014x00000FRohu,Electrical,Electrical,Electrical,"$22,500,000 ",Less than $25M,"$144,157","$271,895","$449,950","$70,152","$251,082","$521,270","$305,503","$1,365,863","$321,048","$608,372","$808,683","$963,914","$258,404","$1,121,711","$796,265",-29%,"-$325,445",
Bogan & Assoc.,0014x00000FRohWAAT,0014x00000FRohW,Electrical,Electrical,Electrical,"$6,500,000 ",Less than $25M,"$57,312","$187,692","$90,233","$181,795","$175,449","$97,275","$189,516",$0,"$211,272","$158,205","$102,107","$97,777","$49,199","$39,947","$84,408",111%,"$44,461",
"Alterman, Inc.",0014x00000FRoiTAAT,0014x00000FRoiT,Electrical,Electrical,Electrical,"$374,000,000 ",$100M-$500M,"$9,858,399","$11,943,068","$20,516,462","$8,093,760","$11,450,869","$9,738,443","$7,279,939","$31,074,403","$11,347,971","$15,932,838","$11,694,256","$14,725,496","$24,378,096","$16,153,113","$15,367,092",-5%,"-$786,021",
FusionTech Data & Electric,0014x00000FRqpmAAD,0014x00000FRqpm,Electrical,Electrical,Electrical,"$15,000,000 ",Less than $25M,"$56,749","$138,532","$184,304","$59,572","$77,797","$50,013","$131,848","$68,130","$120,782","$130,483","$116,748","$1,641","$19,633","$13,261","$12,991",-2%,-$270,
Systems Electric - Mountain View,0014x00000FRr55AAD,0014x00000FRr55,Electrical,Electrical,Electrical,"$3,000,000 ",Less than $25M,$330,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
"Clark Electric, Inc.",0014x00000FRr5uAAD,0014x00000FRr5u,Electrical,Electrical,Electrical,"$13,000,000 ",Less than $25M,$762,"$6,885","$34,961","$11,200","$7,884","$1,473",$0,$0,$0,$992,"$3,303","$1,572",$0,"$3,729",$0,-100%,"-$3,729",
Petri Electric,0014x00000FRrirAAD,0014x00000FRrir,Electrical,Electrical,Electrical,"$27,948,000 ",$25M-$100M,"$326,969","$607,130","$244,654","$2,839,133","$779,164","$502,874","$1,117,187","$490,014","$374,633","$165,927",$0,$0,$0,$0,$0,#DIV/0!,$0,
South - Fair Electric,0014x00000FRrizAAD,0014x00000FRriz,Electrical,Electrical,Electrical,"$72,000,000 ",$25M-$100M,"$1,276,592","$1,260,763","$542,200","$617,423","$475,003","$713,704","$517,742","$690,274","$3,631,939","$1,608,464","$1,162,514","$513,571","$364,321","$356,079","$537,053",51%,"$180,974",
"Electricians, Inc.",0014x00000FRsDFAA1,0014x00000FRsDF,Electrical,Electrical,Electrical,"$53,817,000 ",$25M-$100M,"$197,338","$207,237","$121,566","$83,110","$111,963","$119,729","$531,361","$994,425","$249,774","$474,313","$144,650","$120,356","$1,772,605","$400,761","$341,423",-15%,"-$59,338",
Tri-City Electrical Contractors Inc.,0014x00000FRsDHAA1,0014x00000FRsDH,Electrical,Electrical,Electrical,"$400,000,000 ",$100M-$500M,"$1,137,705","$4,885,456","$8,264,338","$9,555,992","$7,326,424","$2,692,704","$4,454,274","$2,764,758","$16,231,301","$5,506,506","$2,647,617","$2,697,942","$3,864,076","$8,032,908","$5,168,692",-36%,"-$2,864,216",
"All Brite Electric, Inc.",0014x00000FRsDXAA1,0014x00000FRsDX,Electrical,Electrical,Electrical,"$12,000,000 ",Less than $25M,"$86,108","$56,988","$198,384","$46,761","$20,306","$73,121","$129,520","$60,028","$37,595","$105,510","$71,110","$79,977","$43,100","$42,334","$27,434",-35%,"-$14,900",
"SWAN ELECTRIC COMPANY, INC.",0014x00000FRsDyAAL,0014x00000FRsDy,Electrical,Electrical,Electrical,"$12,000,000 ",Less than $25M,"$556,113","$3,302,038","$1,045,323","$343,566","$420,986","$425,146","$270,261","$399,314","$634,442","$388,816","$471,497","$221,516","$110,084","$371,537","$1,199,278",223%,"$827,741",
Enertech Electrical,0014x00000FRsEEAA1,0014x00000FRsEE,Electrical,Electrical,Electrical,"$10,000,000 ",Less than $25M,"$1,651,781",$0,$0,"$368,924","$3,289,901","$46,816","$75,779","$87,643","$1,078,083",$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
"Ireland Electric, Inc.",0014x00000FRsFzAAL,0014x00000FRsFz,Electrical,Electrical,Electrical,"$15,000,000 ",Less than $25M,"$144,831","$82,849","$144,062","$241,507","$132,556","$171,319","$151,519","$72,604","$58,610","$86,582","$72,184","$49,609","$92,556","$175,828","$84,857",-52%,"-$90,970",
Hazzard Electrical LLC,0014x00000FRsG2AAL,0014x00000FRsG2,Electrical,Electrical,Electrical,"$12,000,000 ",Less than $25M,"$39,870","$114,262","$816,517","$54,620","$70,330","$142,570","$143,895","$56,766","$144,295","$79,939","$22,224","$1,067,438","$113,395","$205,880","$189,644",-8%,"-$16,236",
"BAR Electric Co., Inc",0014x00000FRsG6AAL,0014x00000FRsG6,Electrical,Electrical,Electrical,"$2,000,000 ",Less than $25M,$736,$0,$0,$249,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
"Access Electric, Inc. - Tustin",0014x00000FRsGVAA1,0014x00000FRsGV,Electrical,Electrical,Electrical,"$6,741,000 ",Less than $25M,"$30,038","$38,581","$46,246","$30,712","$29,672","$44,175","$111,654",$0,"$71,864","$104,170","$1,233,939","$49,023","$55,738","$86,772","$108,914",26%,"$22,143",
"Hays Electrical Services, Inc",0014x00000FRUtQAAX,0014x00000FRUtQ,Electrical,Electrical,Electrical,"$100,000,000 ",$100M-$500M,"$13,666,696","$12,378,301","$7,413,432","$12,615,490","$4,178,187","$8,205,526","$9,959,033","$5,377,554","$10,061,000","$5,281,915","$19,024,378","$11,085,443","$22,552,693","$9,062,080","$15,072,075",66%,"$6,009,995",
Montgomery Electric,0014x00000FRUtuAAH,0014x00000FRUtu,Electrical,Electrical,Electrical,"$6,500,000 ",Less than $25M,"$36,748","$359,424","$117,315","$246,079","$146,287","$163,564","$64,656","$50,570","$1,882,418","$118,710","$307,975","$108,967","$107,045","$71,622","$81,429",14%,"$9,807",
Deerfield Electric Construction Inc.,0014x00000FRUVaAAP,0014x00000FRUVa,Electrical,Electrical,Electrical,"$12,000,000 ",Less than $25M,"$44,051","$5,954",$0,"$45,631",$0,$323,"$3,626",$0,$0,$0,$0,"$92,600",$0,$0,$0,#DIV/0!,$0,
Mike Hagen Electric,0014x00000FRUvAAAX,0014x00000FRUvA,Electrical,Electrical,Electrical,"$12,000,000 ",Less than $25M,"$1,123",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
"Staley Electric, LLC",0014x00000FRUvgAAH,0014x00000FRUvg,Electrical,Electrical,Electrical,"$20,000,000 ",Less than $25M,"$407,013","$433,092","$387,963","$972,849","$757,843","$457,487","$616,266","$514,481","$844,706","$539,881","$379,972","$441,502","$628,249","$324,748","$352,097",8%,"$27,349",
"Mammoth Electric, Inc",0014x00000FRUvlAAH,0014x00000FRUvl,Electrical,Electrical,Electrical,"$50,000,000 ",$25M-$100M,"$564,122","$741,622","$187,568","$245,348","$1,753,372","$1,368,271","$2,368,101","$1,635,879","$1,593,885","$2,395,180","$1,093,494","$878,321","$1,348,242","$3,620,510","$326,620",-91%,"-$3,293,890",
Fortune Electrical Construction,0014x00000FRUVrAAP,0014x00000FRUVr,Electrical,Electrical,Electrical,"$30,000,000 ",$25M-$100M,"$710,616","$462,349","$1,236,480","$859,287","$1,249,986","$821,900","$248,860","$636,730","$693,202","$1,162,447","$666,471","$517,272","$843,892","$276,814","$801,492",190%,"$524,679",
"Black Hawk Electric Co., Inc.",0014x00000FRUvUAAX,0014x00000FRUvU,Electrical,Electrical,Electrical,"$20,000,000 ",Less than $25M,"$2,673,154","$840,257","$437,361","$374,746","$608,771","$305,719","$235,522","$120,377","$236,060","$106,187","$117,604","$228,748","$283,771","$156,238","$301,511",93%,"$145,273",
"Gillespie Electric, Inc.",0014x00000FRUvvAAH,0014x00000FRUvv,Electrical,Electrical,Electrical,"$18,000,000 ",Less than $25M,"$88,420","$104,558","$98,555","$65,533","$63,816","$23,798","$47,499","$77,850","$282,165","$77,272","$47,434","$63,196","$27,841","$50,269","$38,410",-24%,"-$11,859",
US Electrical Corp.,0014x00000FRUw7AAH,0014x00000FRUw7,Electrical,Electrical,Electrical,"$58,000,000 ",$25M-$100M,"$1,747,322","$1,867,959","$621,715","$756,194","$1,581,424","$1,267,234","$753,236","$1,351,070","$653,122","$3,138,934","$531,693","$1,091,457","$255,051","$320,137","$412,576",29%,"$92,440",
"Gerelco Electrical Contractors, Inc.",0014x00000FRUWGAA5,0014x00000FRUWG,Electrical,,Electrical,"$28,000,000 ",$25M-$100M,,,,$0,$700,"$4,984","$38,940","$136,433","$800,566","$519,244","$132,857","$274,942","$110,169","$825,597","$140,938",-83%,"-$684,660",
Fountain Electric & Services LLC,0014x00000FRUWOAA5,0014x00000FRUWO,Electrical,Electrical,Electrical,,Less than $25M,"$1,337,362","$770,829","$1,030,144","$2,500,859","$1,382,103","$2,439,054","$1,771,660","$1,658,115","$1,151,296","$1,428,738","$1,048,692","$1,319,305","$106,668","$973,453","$313,878",-68%,"-$659,575",
Bonus Electric Co.,0014x00000FRUWSAA5,0014x00000FRUWS,Electrical,,Electrical,"$20,000,000 ",Less than $25M,,,,$30,$1,"$170,166","$28,466","$967,251","$1,087,553","$3,467,187","$1,610,937","$1,794,647","$2,423,114","$3,777,888","$3,769,778",0%,"-$8,111",
"Pro 1 Electric, Inc.",0014x00000FRUXDAA5,0014x00000FRUXD,Electrical,Electrical,Electrical,"$10,080,000 ",Less than $25M,"$247,049","$794,222","$306,441","$224,767","$167,220","$324,377","$546,729","$263,712","$352,159","$231,127","$158,165","$272,766","$104,050","$73,217","$59,060",-19%,"-$14,157",
Allan Briteway Electrical Contractors,0014x00000FRUxvAAH,0014x00000FRUxv,Electrical,Electrical,Electrical,"$100,914,000 ",$100M-$500M,"$529,014","$469,930","$680,301","$1,191,243","$686,281","$541,017","$572,544","$448,334","$689,244","$981,477","$378,276","$471,042","$333,021","$844,196","$565,325",-33%,"-$278,871",
Commonwealth Electrical Technologies,0014x00000FRUZaAAP,0014x00000FRUZa,Electrical,Electrical,Electrical,"$27,828,000 ",$25M-$100M,"$524,587","$370,101","$486,396","$392,121","$765,967","$1,026,187","$1,222,979","$922,914","$724,603","$2,887,572","$1,655,809","$888,885","$1,746,977","$1,997,240","$990,087",-50%,"-$1,007,154",
"All Star Electric, Inc.",0014x00000FRUZbAAP,0014x00000FRUZb,Electrical,Electrical,Electrical,"$60,269,300 ",$25M-$100M,"$624,492","$404,836","$2,455,397","$1,100,424","$1,006,961","$255,674","$525,101","$526,583","$548,704","$712,731","$365,495","$859,600","$267,833","$572,526","$372,094",-35%,"-$200,432",
Daniel's Electric,0014x00000FRUZCAA5,0014x00000FRUZC,Electrical,Electrical,Electrical,"$18,000,000 ",Less than $25M,"$298,650","$744,226","$682,832","$433,281","$251,993","$277,721","$981,924","$686,907","$722,396","$1,351,774","$334,951","$307,417","$229,575","$300,182","$242,212",-19%,"-$57,970",
Giant Power Systems,0014x00000FRUZlAAP,0014x00000FRUZl,Electrical,,Electrical,"$4,000,000 ",Less than $25M,"$25,954","$34,229","$23,087","$31,159","$382,567","$63,428","$50,005","$216,139","$32,536","$101,119","$192,151","$1,872,278","$64,688","$267,065","$197,014",-26%,"-$70,051",
"JTE Electrical, Inc.",0014x00000FRUZOAA5,0014x00000FRUZO,Electrical,Electrical,Electrical,"$20,000,000 ",Less than $25M,"$6,729",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
A-C Electric Company,0014x00000FSlPmAAL,0014x00000FSlPm,Electrical,Electrical,Electrical,"$232,001,000 ",$100M-$500M,"$87,001","$38,108","$325,006","$402,762","$238,854","$609,192","$3,142,649","$3,423,890","$2,218,818","$5,325,572","$9,689,908","$4,176,044","$2,941,204","$2,033,796","$1,207,673",-41%,"-$826,123",
Central Electric,0014x00000FSmvxAAD,0014x00000FSmvx,Electrical,Electrical,Electrical,"$20,000,000 ",Less than $25M,"$48,477","$59,405","$160,229","$75,548","$83,203","$81,898","$135,196","$63,181","$698,268","$72,078","$50,913","$84,947","$63,158","$47,610","$49,105",3%,"$1,495",
Ernest F Ferrari Electrical Contractors,0014x00000FSsBSAA1,0014x00000FSsBS,Electrical,Electrical,Electrical,"$15,000,000 ",Less than $25M,"$311,132","$205,195","$460,595","$283,044","$418,567","$317,386","$319,477","$323,675","$642,905","$462,250","$227,932","$225,658","$569,825","$130,175","$171,351",32%,"$41,176",
"Bowne Electric, Inc.",0014x00000FSwDvAAL,0014x00000FSwDv,Electrical,Electrical,Electrical,"$10,510,000 ",Less than $25M,"$78,196","$120,745","$88,704","$69,773","$90,584","$116,277","$89,520","$75,800","$268,758","$65,609","$123,448","$68,720","$45,416","$114,190","$167,000",46%,"$52,809",
"Anderson & Howard Electric, Inc.",0014x00000FT1CGAA1,0014x00000FT1CG,Electrical,,Electrical,"$75,000,000 ",$25M-$100M,,,,,,,$1,"$3,791,646","$411,625","$808,740","$546,456","$290,981","$260,574","$1,259,928","$616,430",-51%,"-$643,498",
Metro North Electric LLC,0014x00000FT3aKAAT,0014x00000FT3aK,Electrical,Electrical,Electrical,"$5,000,000 ",Less than $25M,"$49,125","$62,483","$61,950","$18,942","$37,096","$37,671","$52,765","$51,586","$77,652","$359,395","$130,099","$69,152","$136,155","$17,543","$15,503",-12%,"-$2,040",
"R.K. Bass Electric III, LP",0014x00000FT7hjAAD,0014x00000FT7hj,Electrical,Electrical,Electrical,"$23,447,000 ",Less than $25M,"$191,290","$627,222","$706,391","$490,441","$222,639","$414,670","$577,807","$458,072","$550,794","$567,346","$400,607","$432,916","$373,824","$271,343","$301,330",11%,"$29,987",
Valley Unique Electric,0014x00000FTD6jAAH,0014x00000FTD6j,Electrical,,Electrical,"$35,000,000 ",$25M-$100M,,,,$0,"$34,524","$129,403","$24,287",$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
JFC Electric,0014x00000FUp8IAAT,0014x00000FUp8I,Electrical,Electrical,Electrical,"$4,315,000 ",Less than $25M,$0,"$33,862","$1,604","$7,604",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
Enterprise Electrical Co.,0014x00000gBAp3AAG,0014x00000gBAp3,Electrical,Electrical,Electrical,"$280,000,000 ",$100M-$500M,"$1,241,322","$1,788,336","$1,719,757","$1,869,977","$1,806,362","$4,591,681","$2,932,028","$3,704,957","$5,172,594","$15,120,365","$4,159,037","$6,402,424","$2,431,594","$4,891,213","$2,530,880",-48%,"-$2,360,333",
Goforth Electric,0014x00000gCDvSAAW,0014x00000gCDvS,Electrical,Electrical,Electrical,"$5,000,000 ",Less than $25M,"$270,874","$131,384","$104,951","$92,179","$91,429","$103,658","$68,227","$527,023","$173,988","$180,803","$617,850","$71,627",$0,$0,$0,#DIV/0!,$0,
GIAMPOLINI GROUP,0014x00000gCF96AAG,0014x00000gCF96,Drywalling,Other,Other,"$35,000,000 ",$25M-$100M,"$543,332.61","$421,470.47","$234,049.67","$333,179.81","$204,566.20","$420,924.85","$266,544.29","$389,541.13","$171,742.66","$261,719","$115,093","$242,269","$92,231","$169,185","$135,686",-20%,"-$33,499",
Hewitt Young Electric - Rochester,0014x00000gCFE9AAO,0014x00000gCFE9,Electrical,Electrical,Electrical,"$70,000,000 ",$25M-$100M,"$1,509,342","$661,398","$1,475,774","$851,342","$2,150,926","$1,102,859","$996,064","$562,441","$1,110,288","$914,875","$514,125","$2,241,860","$453,727","$1,215,573","$1,367,960",13%,"$152,386",
"Empire Electric, Inc.",0014x00000gCHy0AAG,0014x00000gCHy0,Electrical,Electrical,Electrical,"$8,800,000 ",Less than $25M,"$41,171","$74,641","$53,049","$75,350","$69,801","$210,540","$70,110","$123,182","$141,822","$152,631","$80,924","$232,549","$68,200","$69,337","$61,236",-12%,"-$8,101",
Triangle Electric,0014x00000Hka8xAAB,0014x00000Hka8x,Electrical,Electrical,Electrical,"$26,000,000 ",$25M-$100M,"$615,980","$970,347","$670,584","$953,527","$344,063","$692,957","$672,138","$354,516","$520,179","$1,112,960","$9,386,032","$216,840","$115,896","$542,105","$175,605",-68%,"-$366,500",
Syserco,0014x00000Hkx0JAAR,0014x00000Hkx0J,Electrical,Electrical,Electrical,"$60,000,000 ",$25M-$100M,"$466,336","$379,176","$432,149","$336,904","$508,332","$417,175","$149,876","$468,403","$402,920","$337,384","$396,394","$1,096,398","$92,989","$226,640","$261,314",15%,"$34,673",
Teknikor,0014x00000HlVbnAAF,0014x00000HlVbn,Electrical,Electrical,Electrical,"$15,000,000 ",Less than $25M,"$49,873","$43,160","$54,145","$39,884","$35,332","$32,023","$24,508","$45,760","$51,260","$45,376","$103,251","$153,794","$113,279","$104,673","$74,874",-28%,"-$29,800",
"Smith & Sons Electric, Inc.",0014x00000Hm5SXAAZ,0014x00000Hm5SX,Electrical,,Electrical,"$6,000,000 ",Less than $25M,,,,$0,"$6,732",$5,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
Universal Electrical Service,0014x00000HmBSmAAN,0014x00000HmBSm,Electrical,Electrical,Electrical,"$11,315,000 ",Less than $25M,"$487,064","$365,883","$1,123,568","$382,016","$744,885","$1,612,649","$624,496",$0,"$1,112,179","$1,263,358","$848,618","$1,341,458","$398,559","$436,199","$662,365",52%,"$226,165",
PowerWorks Electric,0014x00000HmfrXAAR,0014x00000HmfrX,Electrical,Electrical,Electrical,"$30,000,000 ",$25M-$100M,"$274,981","$377,566","$601,265","$893,288","$1,084,280","$859,611","$541,361","$377,191","$517,923","$712,896","$280,901","$807,337","$279,886","$651,645","$1,063,731",63%,"$412,087",
Helix Electric,0014x00000HmfsdAAB,0014x00000Hmfsd,Electrical,Electrical,Electrical,"$864,000,000 ",$500M+,"$5,547,849","$6,218,648","$7,685,530","$6,783,257","$5,869,593","$8,199,081","$7,421,620","$7,013,877","$9,177,297","$9,135,017","$6,971,775","$9,120,460","$7,366,413","$7,811,041","$8,376,142",7%,"$565,102",
Nemmer Electric,0014x00000HmFSkAAN,0014x00000HmFSk,Electrical,Electrical,Electrical,"$25,000,000 ",$25M-$100M,"$129,269","$160,487","$81,170","$411,617","$204,793","$174,632","$363,455","$220,696","$1,421,905","$137,835","$759,835","$489,689","$322,664","$220,696","$179,423",-19%,"-$41,273",
Radec Electric Corp.,0014x00000HmfsNAAR,0014x00000HmfsN,Electrical,Electrical,Electrical,"$10,000,000 ",Less than $25M,$0,$2,$0,$0,$0,"$2,137","$1,633","$92,263","$300,118","$423,326","$79,770","$121,833","$198,214","$104,659","$355,130",239%,"$250,471",
Austen Electric,0014x00000HmMiaAAF,0014x00000HmMia,Electrical,,Electrical,"$16,000,000 ",Less than $25M,,,,$0,$0,"$1,007",$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
Miller Electric Company,0014x00000HmMiGAAV,0014x00000HmMiG,Electrical,Electrical,Electrical,"$605,987,946 ",$500M+,"$70,759","$16,117",$520,$0,"$3,254",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
Marathon Electrical Contractors,0014x00000HmMiiAAF,0014x00000HmMii,Electrical,Electrical,Electrical,"$148,300,000 ",$100M-$500M,"$3,317,854","$1,967,234","$3,466,470","$7,094,940","$6,707,541","$4,365,391","$4,045,751","$1,776,041","$8,737,642","$7,452,511","$3,000,808","$1,685,677","$2,949,818","$4,763,095","$1,325,048",-72%,"-$3,438,047",
New Way Electric Inc.,0014x00000HmMikAAF,0014x00000HmMik,Electrical,Electrical,Electrical,"$13,414,000 ",Less than $25M,"$241,262","$178,674","$238,961","$471,721","$140,723","$286,278","$389,762","$461,637","$535,241","$266,743","$236,354","$171,893","$220,156","$374,179","$471,274",26%,"$97,095",
Fos Development Corp,0014x00000HmpDfAAJ,0014x00000HmpDf,General Contractor,Other,Other,"$12,600,000 ",Less than $25M,"$223,347.11","$334,482.90","$275,856.47","$23,839.01","$70,601.08","$279,915.69","$164,260.43","$171,714.24","$125,671.11","$145,639","$104,994","$342,777","$150,079","$110,847","$77,372",-30%,"-$33,475",
"FOS-WE JV, LLC",,0014x00000HmpDf,General Contractor,,Other,"$12,600,000 ",Less than $25M,,,,,,,"$75,505.64","$45,000.00",$0.00,$0,"$44,820",$0,$250,$1,$0,-100%,-$1,
Team Electric,0014x00000HmqmhAAB,0014x00000Hmqmh,Electrical,Electrical,Electrical,"$100,000,000 ",$100M-$500M,"$1,413,286","$2,149,363","$1,097,763","$1,128,405","$794,601","$2,985,504","$824,120","$1,689,105","$983,570","$2,292,622","$3,229,573","$2,022,579","$2,554,444","$1,540,093","$3,217,815",109%,"$1,677,722",
Nappa Electrical Contractors,0014x00000Hn8jQAAR,0014x00000Hn8jQ,Electrical,Electrical,Electrical,"$17,987,000 ",Less than $25M,"$846,557","$333,969","$616,377","$667,287","$919,817","$445,110","$571,739","$1,561,169","$911,866","$829,371","$221,912","$532,985","$1,373,797","$952,469","$950,368",0%,"-$2,101",
Forest Electric,0014x00000HnEXCAA3,0014x00000HnEXC,Electrical,Electrical,Electrical,"$40,200,000 ",$25M-$100M,$590,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,$0,
"Serrano Electric, Inc.",0014x00000HnKRtAAN,0014x00000HnKRt,Electrical,Electrical,Electrical,"$30,000,000 ",$25M-$100M,"$1,458,119","$1,181,554","$1,418,423","$1,086,051","$2,990,377","$1,489,245","$2,004,656","$1,456,949","$1,340,444","$977,419","$833,343","$767,155","$920,081","$1,242,482","$2,619,503",111%,"$1,377,021",
"West Electric, Inc. - Anderson",0014x00000Hnsl4AAB,0014x00000Hnsl4,Electrical,Electrical,Electrical,"$8,000,000 ",Less than $25M,"$25,792","$100,511","$85,405","$87,028","$136,084","$96,147","$123,251","$31,016","$42,762","$24,319","$25,756","$1,574",$0,$0,$0,#DIV/0!,$0,
"Kasselman Electric Co., Inc.",0014x00000HnssUAAR,0014x00000HnssU,Electrical,Electrical,Electrical,"$53,441,000 ",$25M-$100M,"$33,311","$41,257","$43,883","$68,191","$60,650","$255,341","$164,903","$88,025","$156,554","$181,703","$53,783","$32,496","$43,682","$64,669","$10,823",-83%,"-$53,845",
Streib Electric,0014x00000HnstjAAB,0014x00000Hnstj,Electrical,Electrical,Electrical,"$20,000,000 ",Less than $25M,"$346,103","$580,815","$1,088,413","$3,092,573","$625,935","$814,912","$580,987",$0,"$1,200,619","$664,472","$190,886","$408,013","$1,597",$37,$0,-100%,-$37,
"D. Suehiro Electric, Inc.",0014x00000HnstOAAR,0014x00000HnstO,Electrical,Electrical,Electrical,"$10,020,000 ",Less than $25M,"$96,311","$175,751","$193,468","$207,736","$410,454","$175,780","$95,483","$114,358","$125,403","$1,344,480","$800,741","$250,878","$29,058","$57,603","$64,808",13%,"$7,206",
"D&D Electrical Contractors, Inc.",0014x00000Hnsv6AAB,0014x00000Hnsv6,Electrical,Electrical,Electrical,"$17,000,000 ",Less than $25M,"$1,057,089","$509,853","$924,899","$1,503,565","$309,643","$1,380,234","$753,358","$609,371","$530,985","$961,742","$504,569","$201,469","$17,353,938","$178,426","$654,073",267%,"$475,647",
"Progressive Electric, Inc.",0014x00000HnsvKAAR,0014x00000HnsvK,Electrical,Electrical,Electrical,"$5,729,000 ",Less than $25M,"$814,015","$105,579","$1,446,497","$1,006,949","$90,547","$68,987","$192,951","$212,089","$406,949","$1,944,971","$139,814","$1,959,355","$70,233","$56,022","$182,897",226%,"$126,874",
Blackwater Electric,0014x00000HnsvxAAB,0014x00000Hnsvx,Electrical,Electrical,Electrical,"$40,000,000 ",$25M-$100M,"$2,151","$1,000","$171,472","$1,021,280","$819,674","$723,679","$5,393,327","$736,054","$1,197,273","$2,232,466","$651,965","$3,222,080","$492,691","$612,630","$1,554,108",154%,"$941,479",
Blocka Construction Inc.,0014x00000HnswdAAB,0014x00000Hnswd,Electrical,Electrical,Electrical,"$35,000,000 ",$25M-$100M,"$407,277","$303,635","$603,320","$382,915","$1,409,963","$447,345","$322,390","$689,939","$431,106","$378,826","$738,393","$2,183,205","$1,937,943","$708,263","$646,874",-9%,"-$61,389",
Acme Electric Company,0014x00000HnswFAAR,0014x00000HnswF,Electrical,Electrical,Electrical,"$80,000,000 ",$25M-$100M,"$6,413,459","$406,963","$1,900,598","$3,595,910","$397,389","$496,925","$951,393","$7,057,120","$7,341,705","$338,980","$879,647","$318,385","$587,771","$559,218","$450,976",-19%,"-$108,242",
"Stansell Electric Co., Inc.",0014x00000HnswiAAB,0014x00000Hnswi,Electrical,Electrical,Electrical,"$110,000,000 ",$100M-$500M,"$2,578,757","$2,178,510","$767,747","$734,786","$608,273","$1,549,197","$558,533","$772,283","$2,505,406","$1,837,060","$751,752","$903,563","$976,576","$1,054,772","$2,049,198",94%,"$994,426",
"Design Electric, Inc.",0014x00000HnswNAAR,0014x00000HnswN,Electrical,Electrical,Electrical,"$28,000,000 ",$25M-$100M,"$966,518","$261,429","$519,610","$419,028","$210,380","$581,083","$554,007","$300,902","$1,107,889","$1,737,275","$651,026","$643,950","$1,624,212","$224,960","$585,224",160%,"$360,264",
VanKirk Electric,0014x00000HnswxAAB,0014x00000Hnswx,Electrical,Electrical,Electrical,"$125,000,000 ",$100M-$500M,"$716,059",$5,"$49,836","$5,953","$10,883","$27,270","$400,336","$723,793","$775,711","$469,695","$335,790","$637,368","$456,996","$2,317,949","$1,775,281",-23%,"-$542,668",
